 Source Port, Destination Port, Protocol, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Fwd Packet Length Min,Bwd Packet Length Max, Flow IAT Mean, Flow IAT Std, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Min, Fwd Header Length, Bwd Header Length, Bwd Packets/s, Init_Win_bytes_backward, NFlow Packets/s
36064,6784,4,1,2,0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
57515,3000,6,119996489,3,3,376.0,0.0,0.0,23999297.8,53637071.61925331,237.0,8192.0,4096.0,3820.0,72,72,0.0250007314797352,2051,-0.9172644089083716
13787,52208,4,1,2,0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
42779,42262,17,1,2,0,964.0,482.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,-1,1.1995591152063798
719,37437,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
37914,26072,17,216840,6,0,2088.0,321.0,0.0,43368.0,59373.31674245595,1.0,216840.0,43368.0,1.0,120,0,0.0,-1,-0.9172351753947452
648,57908,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
32239,36834,17,2,2,0,1032.0,516.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,-2,0,0.0,-1,0.1411473266879352
10841,49940,17,2998939,3,0,2064.0,516.0,0.0,999646.3333333333,1731435.6408571282,1.0,2998939.0,999646.3333333333,1.0,80,0,0.0,-1,-0.9172630501155148
38459,12491,17,1,2,0,766.0,383.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
62489,32715,17,3000413,3,0,2064.0,516.0,0.0,1000137.6666666667,1732287.5211792446,1.0,3000413.0,1000137.6666666667,1.0,80,0,0.0,-1,-0.917263050809042
54997,80,4,36633,3,18,18.0,4.0,2920.0,1831.65,7010.920205950893,2.0,35486.0,17743.0,2.0,60,360,491.3602489558595,1892,-0.9166577234372876
21737,16605,4,1,2,0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
900,4781,17,1,2,0,2928.0,1464.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
3000,65151,6,4102497,4,4,451.0,0.0,377.0,586071.0,1514114.086824041,175.0,82755.0,27585.0,4806.0,92,92,0.9750159476045932,513,-0.9172623978937636
648,60474,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
556,1603,17,1,2,0,494.0,247.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
918,32681,17,1,2,0,2944.0,1472.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
617,42964,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
62740,14897,17,0,2,0,1032.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2125437950,0,0.0,-1,1.6017995368153533e-15
999,63237,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
900,58714,17,1,2,0,422.0,211.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
55514,60936,17,212077,6,0,2088.0,321.0,0.0,42415.4,58129.05223122082,1.0,212077.0,42415.4,1.0,56,0,0.0,-1,-0.9172345176558412
614,65194,17,1,2,0,2944.0,1472.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,-1,1.1995591152063798
861,28824,17,48,2,0,424.0,212.0,0.0,48.0,0.0,48.0,48.0,48.0,48.0,16,0,0.0,-1,-0.8731639706422408
52645,37932,17,228092,6,0,2054.0,322.0,0.0,45618.4,62532.12735306549,1.0,228092.0,45618.4,1.0,28,0,0.0,-1,-0.9172366201230794
18088,18088,4,59422072,10,2,60.0,4.0,4.0,5402006.545454546,7988124.707217375,0.0,59422072.0,6602452.444444445,0.0,200,40,0.033657527122245,0,-0.9172642480893684
941,65045,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
60810,60810,4,49671139,14,10,84.0,4.0,4.0,2159614.7391304346,4380507.373135313,1.0,49671139.0,3820856.8461538455,1.0,280,200,0.2013241532472207,0,-0.9172639504292522
52456,3000,6,239261,3,4,324.0,0.0,451.0,39876.83333333333,70369.162934958,198.0,235605.0,117802.5,490.0,60,104,16.71814462031004,2051,-0.91723349613815
16832,54210,4,1,2,0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
988,22676,17,1,2,0,422.0,211.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,-1,1.1995591152063798
63210,40051,4,102,2,2,12.0,4.0,4.0,34.0,57.16642371182581,0.0,0.0,0.0,0.0,40,40,19607.843137254906,0,-0.8757581171827272
58782,3000,6,19759101,1,1,0.0,0.0,0.0,19759101.0,0.0,19759101.0,0.0,0.0,0.0,20,20,0.0506095899808397,511,-0.917264354698936
655,47878,17,48,2,0,424.0,212.0,0.0,48.0,0.0,48.0,48.0,48.0,48.0,40,0,0.0,-1,-0.8731639706422408
49913,22532,4,106,2,2,12.0,4.0,4.0,35.33333333333333,29.297326385411573,2.0,47.0,47.0,47.0,40,40,18867.924528301886,0,-0.8773243943392474
36805,16435,4,70,2,2,12.0,4.0,4.0,23.333333333333336,38.68246803570492,1.0,1.0,1.0,1.0,40,40,28571.42857142857,0,-0.856783788200884
806,36779,17,50,2,0,458.0,229.0,0.0,50.0,0.0,50.0,50.0,50.0,50.0,16,0,0.0,-1,-0.8749279902897715
37118,47920,17,1,2,0,766.0,383.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
53568,19937,17,989039,20,0,7242.0,321.0,0.0,52054.68421052632,56372.95829468893,1.0,989039.0,52054.68421052632,1.0,256,0,0.0,-1,-0.9172430589982952
807,61140,17,48,2,0,422.0,211.0,0.0,48.0,0.0,48.0,48.0,48.0,48.0,-2,0,0.0,-1,-0.8731639706422408
43127,36720,17,107325,4,0,1398.0,330.0,0.0,35775.0,61963.25161739013,0.0,107325.0,35775.0,0.0,64,0,0.0,-1,-0.9172250148502712
530,42184,17,1,2,0,2944.0,1472.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,-1,1.1995591152063798
56146,12894,4,1,2,0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
58776,50951,17,1,2,0,750.0,375.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,-1,1.1995591152063798
592,30741,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
54634,16732,17,105797,3,0,1438.0,330.0,0.0,35265.66666666667,61000.52004149911,47.0,105797.0,35265.66666666667,47.0,44,0,0.0,-1,-0.9172244451272562
868,30360,17,1,2,0,2944.0,1472.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
843,64651,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
907,51239,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
13966,10374,4,1,2,0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
36199,42004,17,105512,4,0,1438.0,330.0,0.0,35170.66666666667,60914.78352857648,1.0,105512.0,35170.66666666667,1.0,80,0,0.0,-1,-0.917224337037556
41639,2955,17,2,2,0,750.0,375.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,40,0,0.0,-1,0.1411473266879352
15480,58505,4,0,2,0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0.0,-1,1.6017995368153533e-15
602,48014,17,48,2,0,458.0,229.0,0.0,48.0,0.0,48.0,48.0,48.0,48.0,-2125437944,0,0.0,-1,-0.8731639706422408
815,15931,17,0,2,0,458.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0.0,-1,1.6017995368153533e-15
900,60699,17,1,2,0,2944.0,1472.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,28,0,0.0,-1,1.1995591152063798
44031,37596,17,1,2,0,766.0,383.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
3000,51965,6,45573188,3,5,479.0,0.0,513.0,6510455.428571428,15118216.077578222,79.0,5031911.0,2515955.5,30391.0,72,112,0.1097136324981258,511,-0.9172642760349862
900,60215,17,1,2,0,2944.0,1472.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
38598,42772,17,1,2,0,750.0,375.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
3000,54069,6,14350,1,1,0.0,0.0,0.0,14350.0,0.0,14350.0,0.0,0.0,0.0,20,20,69.68641114982579,2051,-0.9171169479923884
54983,19762,17,1,2,0,802.0,401.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
62429,3000,6,119858352,3,4,376.0,0.0,451.0,19976392.0,48925026.9600394,231.0,9232.0,4616.0,4307.0,72,92,0.0333727264996935,4099,-0.9172644000168568
911,44360,17,2,2,0,458.0,229.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,40,0,0.0,-1,0.1411473266879352
56614,3000,6,4520,1,1,0.0,0.0,451.0,4520.0,0.0,4520.0,0.0,0.0,0.0,20,20,221.23893805309737,2051,-0.91679613803028
11985,4718,17,1,2,0,1032.0,516.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,-1,1.1995591152063798
3000,63186,6,51011,1,1,0.0,0.0,0.0,51011.0,0.0,51011.0,0.0,0.0,0.0,20,20,19.60361490658877,2051,-0.91722296443628
46109,44519,17,3001540,3,0,2064.0,516.0,0.0,1000513.3333333333,1732938.194932622,1.0,3001540.0,1000513.3333333333,1.0,68,0,0.0,-1,-0.9172630513388436
62746,1173,4,106,2,2,12.0,4.0,4.0,35.33333333333333,58.60318535142382,1.0,1.0,1.0,1.0,40,40,18867.924528301886,0,-0.8773243943392474
43653,30718,17,108637,4,0,1398.0,330.0,0.0,36212.33333333333,62719.86914314581,1.0,108637.0,36212.33333333333,1.0,80,0,0.0,-1,-0.9172254912481655
948,20473,17,48,2,0,458.0,229.0,0.0,48.0,0.0,48.0,48.0,48.0,48.0,40,0,0.0,-1,-0.8731639706422408
37960,45912,17,2,2,0,802.0,401.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0,0,0.0,-1,0.1411473266879352
53239,52024,17,2,2,0,998.0,499.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,40,0,0.0,-1,0.1411473266879352
648,63075,17,1,2,0,494.0,247.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
36847,45380,17,1,2,0,766.0,383.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
34498,7394,17,105578,3,0,1398.0,330.0,0.0,35192.66666666667,60952.88864634173,1.0,105578.0,35192.66666666667,1.0,92,0,0.0,-1,-0.9172243621207774
62477,24431,17,3000299,3,0,2064.0,516.0,0.0,1000099.6666666667,1732221.7032485574,1.0,3000299.0,1000099.6666666667,1.0,38,0,0.0,-1,-0.9172630507554284
648,14209,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
35056,39645,4,104,2,2,12.0,4.0,4.0,34.66666666666667,59.18051481132394,0.0,1.0,1.0,1.0,40,40,19230.76923076923,0,-0.8765563161182615
38147,44223,17,106327,4,0,1398.0,330.0,0.0,35442.33333333333,61386.19002131777,1.0,106327.0,35442.33333333333,1.0,0,0,0.0,-1,-0.917224644595432
14308,1971,4,1,2,0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
55102,53111,17,218469,6,0,2088.0,321.0,0.0,43693.8,59829.04927959327,1.0,218469.0,43693.8,1.0,830,0,0.0,-1,-0.9172353937671636
648,7067,17,47,2,0,458.0,229.0,0.0,47.0,0.0,47.0,47.0,47.0,47.0,28,0,0.0,-1,-0.8722256623190862
33671,53076,4,48,2,0,12.0,4.0,0.0,48.0,0.0,48.0,48.0,48.0,48.0,40,0,0.0,-1,-0.8731639706422408
37574,61441,17,2,2,0,766.0,383.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,-2125437950,0,0.0,-1,0.1411473266879352
52995,14001,17,215867,6,0,2088.0,321.0,0.0,43173.4,59132.98807180304,1.0,215867.0,43173.4,1.0,96,0,0.0,-1,-0.9172350433889176
3000,50957,6,70841,1,1,0.0,0.0,0.0,70841.0,0.0,70841.0,0.0,0.0,0.0,20,20,14.116119196510494,4099,-0.917234580496578
835,62241,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
730,11823,17,2,2,0,422.0,211.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0,0,0.0,-1,0.1411473266879352
12390,12390,4,29988093,4,2,36.0,4.0,4.0,4284013.285714286,7401537.403122425,1.0,29987971.0,5997594.2,1.0,120,40,0.0666931371728105,0,-0.9172641794752988
534,53084,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
14466,14466,4,52771874,6,2,48.0,4.0,4.0,5863541.555555556,10071727.794487424,1.0,52771816.0,7538830.857142857,1.0,160,40,0.0378989762614835,0,-0.9172642612668932
648,57185,17,48,2,0,458.0,229.0,0.0,48.0,0.0,48.0,48.0,48.0,48.0,16,0,0.0,-1,-0.8731639706422408
62528,60370,17,2999805,3,0,2064.0,516.0,0.0,999935.0,1731936.4922155775,1.0,2999805.0,999935.0,1.0,38,0,0.0,-1,-0.9172630505230563
52534,28709,17,1,2,0,750.0,375.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
35248,29527,4,52,2,2,12.0,4.0,4.0,17.333333333333336,28.29016319029166,1.0,50.0,50.0,50.0,40,40,38461.53846153846,0,-0.8358481704060137
817,28605,17,2,2,0,458.0,229.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,40,0,0.0,-1,0.1411473266879352
868,56698,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
609,9840,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
611,45857,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
51925,3000,6,123829,3,4,357.0,0.0,451.0,20638.166666666668,27158.963274887108,156.0,114958.0,57479.0,754.0,60,104,32.30261085852264,4099,-0.9172046302682773
54963,443,4,116639223,24,32,3874.0,4.0,400.0,2120713.145454545,10958723.451861376,0.0,116639223.0,5071270.565217392,2.0,480,640,0.2743502500869712,264,-0.9172639536733164
50814,16432,17,1,2,0,766.0,383.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
648,21088,17,1,2,0,494.0,247.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
52306,7120,17,103010,4,0,1398.0,330.0,0.0,34336.66666666667,59471.11917841577,1.0,103010.0,34336.66666666667,1.0,0,0,0.0,-1,-0.9172233624503126
62516,47339,17,1,2,0,1032.0,516.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,-1,1.1995591152063798
3000,60061,6,28264,3,4,451.0,0.0,346.0,4710.666666666666,6644.665790441733,203.0,23469.0,11734.5,203.0,72,92,141.5227851684121,513,-0.9170023304082184
872,35308,17,2,2,0,458.0,229.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,16,0,0.0,-1,0.1411473266879352
978,28276,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
978,2016,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,-2,0,0.0,-1,1.1995591152063798
54423,3000,6,9787,1,2,0.0,0.0,0.0,4893.5,6863.885524977817,40.0,0.0,0.0,0.0,20,40,204.35271278226216,2051,-0.9169400278501726
62811,60742,17,0,2,0,1032.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,0.0,-1,1.6017995368153533e-15
3000,55611,6,24262601,3,5,479.0,0.0,329.0,3466085.8571428573,7181226.429032657,266.0,5051298.0,2525649.0,50552.0,72,112,0.2060784826820504,511,-0.9172641128450768
57656,60088,17,1,2,0,968.0,484.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
57782,55543,17,108115,4,0,1438.0,330.0,0.0,36038.33333333333,62418.49230262883,1.0,108115.0,36038.33333333333,1.0,0,0,0.0,-1,-0.9172253030907038
48940,40925,17,106411,4,0,1398.0,330.0,0.0,35470.33333333333,61434.687443929695,1.0,106411.0,35470.33333333333,1.0,128,0,0.0,-1,-0.9172246760268415
46120,37932,17,1,2,0,766.0,383.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
39350,80,6,187,1,1,0.0,0.0,0.0,187.0,0.0,187.0,0.0,0.0,0.0,32,32,5347.593582887701,501,-0.9059445496538414
45742,18044,17,2,2,0,766.0,383.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,40,0,0.0,-1,0.1411473266879352
59298,2729,17,108928,4,0,1438.0,330.0,0.0,36309.33333333333,62887.01204806389,1.0,108928.0,36309.33333333333,1.0,80,0,0.0,-1,-0.9172255953576642
6407,12035,17,3010539,3,0,2064.0,516.0,0.0,1003513.0,1738133.770005059,1.0,3010539.0,1003513.0,1.0,38,0,0.0,-1,-0.917263055555037
62476,3000,6,629398,3,4,403.0,0.0,451.0,104899.66666666669,223616.62613470107,1457.0,616667.0,308333.5,3767.0,60,104,6.355279171525807,2051,-0.9172526904513192
52497,3000,6,3814657,5,4,361.0,0.0,451.0,476832.125,725455.2843255326,667.0,2785571.0,696392.75,5261.0,124,104,1.0485870682475515,2051,-0.917261964697452
59488,3000,6,5034031,3,4,496.0,0.0,479.0,839005.1666666666,2016034.7022638689,88.0,75708.0,37854.0,25980.0,60,104,0.7945918489576247,4098,-0.9172629900710944
25432,63070,17,3,2,0,1012.0,506.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,40,0,0.0,-1,-0.211656602818213
58877,3000,6,119195295,36,38,36.0,1.0,1.0,1632812.26,1907283.025,40192.0,118000000.0,3375458.457,999914.0,720,760,0.31880453,2051,-0.917263804736852
584,47023,17,1,2,0,2944.0,1472.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2944,0,0.0,-1,1.1995591152063798
41510,53349,17,1,2,0,766.0,383.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,-1,1.1995591152063798
39351,39351,4,31253378,4,2,36.0,4.0,4.0,4464768.285714285,8619952.150884727,0.0,31253378.0,6250675.6,0.0,120,40,0.0639930826037428,0,-0.9172641909063772
840,35104,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,80,0,0.0,-1,1.1995591152063798
3000,55108,6,29423,1,1,0.0,0.0,0.0,29423.0,0.0,29423.0,0.0,0.0,0.0,20,20,33.98701695952146,2051,-0.9171925173116964
62694,48514,17,1,2,0,1032.0,516.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
52005,28667,17,47,2,0,766.0,383.0,0.0,47.0,0.0,47.0,47.0,47.0,47.0,64,0,0.0,-1,-0.8722256623190862
52037,43850,17,218495,6,0,2088.0,321.0,0.0,43699.0,59837.57980149263,1.0,218495.0,43699.0,1.0,120,0,0.0,-1,-0.9172353972261428
728,27235,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
14939,6112,4,1,2,0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
36197,39613,17,982902,20,0,7242.0,321.0,0.0,51731.68421052632,56041.83094008402,1.0,982902.0,51731.68421052632,1.0,256,0,0.0,-1,-0.9172429253642388
43222,30699,4,67,2,2,12.0,4.0,4.0,22.333333333333336,36.95041722813605,1.0,1.0,1.0,1.0,40,40,29850.74626865672,0,-0.8540756983368709
978,16788,17,1,2,0,2944.0,1472.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
1005,61355,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
52541,31160,17,1,2,0,750.0,375.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0.0,-1,1.1995591152063798
648,41466,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16,0,0.0,-1,1.1995591152063798
50174,3000,6,21779,3,3,356.0,0.0,451.0,4355.8,2410.5662612755536,185.0,16022.0,8011.0,5219.0,60,84,137.7473713209973,2051,-0.916972874947222
699,57886,17,1,2,0,2944.0,1472.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,64,0,0.0,-1,1.1995591152063798
1003,44077,17,1,2,0,458.0,229.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,64,0,0.0,-1,1.1995591152063798
50621,51244,17,104067,3,0,1398.0,330.0,0.0,34689.0,60045.87487080191,1.0,104067.0,34689.0,1.0,32,0,0.0,-1,-0.9172237798933528
702,59039,17,2,2,0,458.0,229.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,40,0,0.0,-1,0.1411473266879352
42961,61783,4,98,2,2,12.0,4.0,4.0,32.66666666666667,28.30783166074952,0.0,48.0,48.0,48.0,40,40,20408.163265306124,0,-0.8740639806664912
40707,43627,4,71,2,2,12.0,4.0,4.0,23.666666666666664,39.259818304894544,1.0,1.0,1.0,1.0,40,40,28169.01408450704,0,-0.8576356286745407
54451,20069,17,248174,6,0,2054.0,322.0,0.0,49634.8,68038.79719836322,1.0,248174.0,49634.8,1.0,120,0,0.0,-1,-0.9172388730471108
17390,48931,4,1,2,0,12.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,40,0,0.0,-1,1.1995591152063798
28923,28923,4,48999753,12,4,72.0,4.0,4.0,2882338.411764706,5150890.635219142,1.0,48999753.0,4454523.0,1.0,240,120,0.1224495968377636,0,-0.917264073024219
